SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
305098,-38.146214,144.366335,Geelong Yacht Club Eastern Beach Rd GEELONG,VIC,2,3220,Within 10 metres,,KX6B
305099,-38.37057,144.832399,Rye Yacht Club Point Nepean Rd RYE,VIC,2,3941,Within 10 metres,,KX6H
305100,-36.849585,145.733049,CFA Site Merton Strathbogie Rd STRATHBOGIE,VIC,4,3666,Within 10 metres,,LW7O
305101,-37.820802,144.897379,CMTS Site 360 Whitehall St YARRAVILLE,VIC,2,3013,Within 10 metres,,KX3P
305102,-36.990204,147.148477,Fire Station Great Alpine Rd MT HOTHAM,VIC,4,3741,Within 100 metres,,LW9M
305104,-36.150381,146.872414,CFA Site 66 Huon Creek Rd WODONGA,VIC,4,3690,Within 100 metres,179,LW8D
305105,-38.158068,145.158266,Water Tower Bunarong Park Willow Road FRANKSTON,VIC,2,3199,Within 10 metres,,LX4A
305107,-37.555595,145.077773,1910 Donnybrook Rd YAN YEAN,VIC,2,3751,Within 10 metres,,LX1I
305109,-37.90275,145.221746,1 Dalmore Drive SCORESBY,VIC,2,3179,Within 10 metres,,LX1M
305110,-38.079284,145.263309,Optus Site Carpark Railway Station Thompsons Rd MERINDA PARK,VIC,2,3977,Within 10 metres,33,LX4B
305111,-37.95165,145.55091,Fire Station Innes Road GEMBROOK,VIC,2,3783,Within 10 metres,,LX1O
305113,-38.611577,145.590844,CFA Site 11 Dunn St WONTHAGGI,VIC,4,3995,Within 100 metres,,LX4K
305115,-38.604752,145.592815,CFA Site 1 Murray St WONTHAGGI,VIC,4,3995,Within 100 metres,,LX4K
305116,-38.386771,144.82894,CFA Site 2 Creedmore St RYE,VIC,2,3941,Within 10 metres,,KX6H
305117,-38.371285,144.832092,RACV 2123 Pt Nepean Rd RYE,VIC,2,3941,Within 10 metres,,KX6H
305118,-37.70802,144.854916,Optus/Vodafone Site 87-91 Lambeck Drive TULLAMARINE,VIC,2,3043,Within 10 metres,72,KX3L
305119,-38.214914,145.114629,Optus Site 259 Eramosa Rd MOOROODUC,VIC,2,3933,Within 10 metres,56,LX4A
305120,-37.838471,145.033293,Optus CMTS 454 Glenferrie Road KOOYONG,VIC,2,3144,Within 10 metres,6,LX1M
305121,-38.102187,145.186641,Optus Site 100 Hall Rd CARRUM DOWNS,VIC,2,3201,Within 10 metres,,LX4A
305122,-37.660845,144.374069,Optus Site 16 Olcksons Rd BACCUS MARSH,VIC,2,3341,Within 10 metres,310,KX3J
305123,-37.766985,144.896407,Optus CMTS The Esplanade MARIBYRNONG,VIC,2,3032,Within 10 metres,,KX3P
305125,-37.239395,144.446536,Cnr Jeffrey & Lennox Sts KYNETON,VIC,4,3444,Within 100 metres,496,KX3B
305126,-37.230536,144.451513,Water Treatment Plant Redesdale Rd KYNETON,VIC,4,3444,Within 100 metres,504,KX3B
305128,-37.821349,144.961835,Fresh Water Place Southbank Blvd SOUTHBANK,VIC,2,3205,Within 10 metres,,KX3P
305129,-37.858094,144.888931,Vodafone Site SW cnr Kororoit Creek Rd & Victoria St WILLIAMSTOWN,VIC,2,3016,Within 10 metres,,KX3P
305130,-37.801484,145.147625,31-41 Joseph Street BLACKBURN NORTH,VIC,2,3130,Within 10 metres,,LX1M
305131,-37.792023,144.858109,38 South Rd BRAYBROOK,VIC,2,3019,Within 10 metres,,KX3P
305132,-37.853008,145.013471,Light Tower N of Scoreboard Toorak Park 580 Orrong Road ARMADALE,VIC,2,3143,Within 10 metres,,LX1M
305134,-37.677442,144.931481,Ericsson cell tower 61 Riggall Rd BROADMEADOWS,VIC,2,3047,Within 10 metres,,KX3L
305136,-37.568026,144.695093,Western Storage Tank Reservoir Rd SUNBURY,VIC,2,3429,Within 10 metres,,KX3K
305139,-37.564322,143.869167,Administration Bldg Secondary College Barkly Street BALLARAT,VIC,4,3350,Within 10 metres,417,KX2L
